air_force_blue_raf,"Air Force Blue (Raf)",#5d8aa8,93,138,168
air_force_blue_usaf,"Air Force Blue (Usaf)",#00308f,0,48,143
air_superiority_blue,"Air Superiority Blue",#72a0c1,114,160,193
alabama_crimson,"Alabama Crimson",#a32638,163,38,56
alice_blue,"Alice Blue",#f0f8ff,240,248,255
celadon_blue,"Celadon Blue",#007ba7,0,123,167
red,"Red",#f00,255,0,0
red_brown,"Red-Brown",#a52a2a,165,42,42
red_devil,"Red Devil",#860111,134,1,17
red_munsell,"Red (Munsell)",#f2003c,242,0,60
umber,"Umber",#635147,99,81,71
veronica,"Veronica",#a020f0,160,32,240
violet,"Violet",#8f00ff,143,0,255
violet_blue,"Violet-Blue",#324ab2,50,74,178
vivid_violet,"Vivid Violet",#9f00ff,159,0,255
white,"White",#fff,255,255,255
white_smoke,"White Smoke",#f5f5f5,245,245,245
yellow,"Yellow",#ff0,255,255,0
yellow_green,"Yellow-Green",#9acd32,154,205,50